Año,Kilómetros,Corolla Cross,Hilux SW4,RAV4,Diésel,Eléctrico,Híbrido,Nafta,Nafta/GNC,Automática,Manual,1,1.8,2.0,2.4,2.5,2.7,2.8,3.0,hibrido,Precio
2016,77000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,35900.0
2017,16570,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,43400.0
2021,51000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,45500.0
2022,53000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,33397.12918660287
2023,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,34000.0
2007,237000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17990.0
2021,41085,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,44976.07655502392
2011,100000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17224.880382775118
2022,29000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,32500.0
2023,9700,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,36842.10526315789
2022,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30624.88038277512
2023,20000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28300.0
2016,161000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,35000.0
2017,128128,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33971.29186602871
2006,175000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19200.0
2010,265000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,23000.0
2015,160000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,22000.0
2024,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,70000.0
2023,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,53540.66985645933
2023,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28602.87081339713
2023,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,58373.20574162679
2020,67500,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,48000.0
2013,307000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25000.0
2021,49000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46000.0
2021,40000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,47000.0
2018,98800,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,35000.0
2024,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,39500.0
2020,30000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46000.0
