,Año,Kilómetros,Precio,Corolla Cross,Hilux SW4,RAV4,Diésel,Eléctrico,Híbrido,Nafta,Automática,Manual,1,1.8,2.0,2.4,2.5,2.7,2.8,3.0
246,2019,107000,36500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
247,2023,500,40900.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
248,2024,6000,35900.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
249,2015,135627,19300.0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
250,2007,250000,18500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
251,2022,54000,29000.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
252,2009,240000,10000.0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
253,2022,17000,32500.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
254,2006,280000,12900.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
255,2024,0,29747.36842105263,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
256,2024,1111,40500.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
257,2023,0,30526.315789473683,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
258,2012,280000,10526.315789473683,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
259,2003,319000,18000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
260,2018,93600,37800.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
261,2024,0,74641.14832535885,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
262,1998,270000,14000.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
263,2011,223000,12344.497607655505,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
264,2023,15000,59500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
265,2017,210000,31500.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
266,2022,64237,25186.6028708134,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
267,2018,94999,37000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
